,zone,room,bathroom,floor,t_floors,area,area_unit,area_type,furnishing,facing,power_backup,available_from,contact,rent
1187,East Delhi,2,,,,800.0,Sq.Ft.,Built-up Area,Semi-Furnished,,,Immediately,Contact Agent,"₹ 22,300"
1188,East Delhi,2,1,,,954.0,Sq.Ft.,Built-up Area,Semi-Furnished,,,Immediately,Contact Agent,"₹ 21,600"
1189,East Delhi,2,1,,,642.0,Sq.Ft.,Built-up Area,Furnished,,,Immediately,Contact Agent,"₹ 21,900"
1190,East Delhi,2,,,,935.0,Sq.Ft.,Built-up Area,Semi-Furnished,,,Immediately,Contact Agent,"₹ 15,500"
1191,East Delhi,2,,,,992.0,Sq.Ft.,Built-up Area,Semi-Furnished,,,Immediately,Contact Agent,"₹ 18,800"
1192,East Delhi,2,,,,800.0,Sq.Ft.,Built-up Area,Semi-Furnished,,,Immediately,Contact Agent,"₹ 22,650"
1193,East Delhi,2,,,,817.0,Sq.Ft.,Built-up Area,Semi-Furnished,,,Immediately,Contact Agent,"₹ 22,600"
1194,East Delhi,2,,,,999.0,Sq.Ft.,Built-up Area,Semi-Furnished,,,Immediately,Contact Agent,"₹ 19,300"
1195,East Delhi,1,1,,,456.0,Sq.Ft.,Built-up Area,Semi-Furnished,,,Immediately,Contact Agent,"₹ 17,500"
1196,East Delhi,1,1,,,696.0,Sq.Ft.,Built-up Area,Semi-Furnished,,,Immediately,Contact Agent,"₹ 17,885"
1197,East Delhi,2,,,,800.0,Sq.Ft.,Built-up Area,Semi-Furnished,,,Immediately,Contact Agent,"₹ 22,750"
1198,East Delhi,2,1,,,645.0,Sq.Ft.,Built-up Area,Furnished,,,Immediately,Contact Agent,"₹ 22,100"
1199,East Delhi,1,,,,400.0,Sq.Ft.,Built-up Area,Unfurnished,,,Immediately,Contact Agent,"₹ 15,400"
1200,East Delhi,1,,,,400.0,Sq.Ft.,Built-up Area,Unfurnished,,,Immediately,Contact Agent,"₹ 15,700"
1201,East Delhi,1,,,,400.0,Sq.Ft.,Built-up Area,Unfurnished,,,Immediately,Contact Agent,"₹ 16,000"
1202,East Delhi,1,,,,400.0,Sq.Ft.,Built-up Area,Unfurnished,,,Immediately,Contact Agent,"₹ 16,800"
1203,East Delhi,1,,,,400.0,Sq.Ft.,Built-up Area,Unfurnished,,,Immediately,Contact Agent,"₹ 17,200"
1204,East Delhi,1,,,,400.0,Sq.Ft.,Built-up Area,Unfurnished,,,Immediately,Contact Agent,"₹ 16,100"
1205,East Delhi,2,,,,800.0,Sq.Ft.,Built-up Area,Semi-Furnished,,,Immediately,Contact Agent,"₹ 22,200"
1206,East Delhi,2,,,,860.0,Sq.Ft.,Built-up Area,Semi-Furnished,,,Immediately,Contact Agent,"₹ 15,700"
1207,East Delhi,2,1,,,1136.0,Sq.Ft.,Built-up Area,Furnished,,,Immediately,Contact Agent,"₹ 19,000"
1208,East Delhi,2,,,,740.0,Sq.Ft.,Built-up Area,Furnished,,,Immediately,Contact Agent,"₹ 23,100"
1209,East Delhi,2,,,,553.0,Sq.Ft.,Built-up Area,Semi-Furnished,,,Immediately,Contact Agent,"₹ 15,300"
1210,East Delhi,2,,,,941.0,Sq.Ft.,Built-up Area,Semi-Furnished,,,Immediately,Contact Agent,"₹ 17,000"
1211,East Delhi,2,1,,,675.0,Sq.Ft.,Built-up Area,Furnished,,,Immediately,Contact Agent,"₹ 18,560"
1212,East Delhi,2,,,,606.0,Sq.Ft.,Built-up Area,Semi-Furnished,,,Immediately,Contact Agent,Price on Request
1213,East Delhi,1,,,,440.0,Sq.Ft.,Built-up Area,Unfurnished,,,Immediately,Contact Agent,"₹ 16,800"
1214,East Delhi,2,,,,400.0,Sq.Ft.,Built-up Area,Furnished,,,Immediately,Contact Agent,"₹ 23,500"
1215,East Delhi,2,,,,740.0,Sq.Ft.,Built-up Area,Furnished,,,Immediately,Contact Agent,"₹ 26,000"
1216,East Delhi,2,,,,739.0,Sq.Ft.,Built-up Area,Unfurnished,,,Immediately,Contact Agent,"₹ 18,600"
1217,East Delhi,2,1,,,662.0,Sq.Ft.,Built-up Area,Furnished,,,Immediately,Contact Agent,"₹ 23,800"
1218,East Delhi,2,,,,729.0,Sq.Ft.,Built-up Area,Unfurnished,,,Immediately,Contact Agent,"₹ 16,500"
1219,East Delhi,2,,,,814.0,Sq.Ft.,Built-up Area,Semi-Furnished,,,Immediately,Contact Agent,"₹ 22,300"
1220,East Delhi,2,,,,700.0,Sq.Ft.,Built-up Area,Semi-Furnished,,,Immediately,Contact Agent,"₹ 17,500"
1221,East Delhi,2,,,,700.0,Sq.Ft.,Built-up Area,Semi-Furnished,,,Immediately,Contact Agent,"₹ 18,400"
1222,East Delhi,2,,,,995.0,Sq.Ft.,Built-up Area,Semi-Furnished,,,Immediately,Contact Agent,"₹ 17,550"
1223,East Delhi,2,,,,624.0,Sq.Ft.,Built-up Area,Semi-Furnished,,,Immediately,Contact Agent,"₹ 17,800"
1224,East Delhi,2,2,,,850.0,Sq.Ft.,Built-up Area,Semi-Furnished,,,Immediately,Contact Agent,Price on Request
1225,East Delhi,2,1,,,1163.0,Sq.Ft.,Built-up Area,Semi-Furnished,,,Immediately,Contact Agent,"₹ 23,550"
1226,East Delhi,2,,,,780.0,Sq.Ft.,Built-up Area,Semi-Furnished,,,Immediately,Contact Agent,"₹ 14,800"
1227,East Delhi,2,1,,,782.0,Sq.Ft.,Built-up Area,Unfurnished,,,Immediately,Contact Agent,"₹ 16,200"
1228,East Delhi,1,1,,,450.0,Sq.Ft.,Built-up Area,Semi-Furnished,,,Immediately,Contact Agent,"₹ 15,700"
1229,East Delhi,2,,,,600.0,Sq.Ft.,Built-up Area,Semi-Furnished,,,Immediately,Contact Agent,Price on Request
1230,East Delhi,2,,,,880.0,Sq.Ft.,Built-up Area,Semi-Furnished,,,Immediately,Contact Agent,Price on Request
1231,East Delhi,2,,,,880.0,Sq.Ft.,Built-up Area,Semi-Furnished,,,Immediately,Contact Agent,Price on Request
1232,East Delhi,3,1,,,1490.0,Sq.Ft.,Built-up Area,Furnished,,,Immediately,Contact Agent,Price on Request
1233,East Delhi,2,1,,,845.0,Sq.Ft.,Built-up Area,Furnished,,,Immediately,Contact Agent,"₹ 22,455"
1234,East Delhi,2,1,,,1174.0,Sq.Ft.,Built-up Area,Furnished,,,Immediately,Contact Agent,"₹ 25,600"
1235,East Delhi,2,1,,,910.0,Sq.Ft.,Built-up Area,Unfurnished,,,Immediately,Contact Agent,"₹ 17,400"
1236,East Delhi,2,,,,990.0,Sq.Ft.,Built-up Area,Semi-Furnished,,,Immediately,Contact Agent,"₹ 19,800"
1237,East Delhi,2,,,,840.0,Sq.Ft.,Built-up Area,Semi-Furnished,,,Immediately,Contact Agent,"₹ 15,500"
1238,East Delhi,1,1,,,485.0,Sq.Ft.,Built-up Area,Semi-Furnished,,,Immediately,Contact Agent,"₹ 16,300"
1239,East Delhi,3,2,,,1200.0,Sq.Ft.,Built-up Area,Semi-Furnished,,,Immediately,Contact Agent,Price on Request
1240,East Delhi,1,,,,430.0,Sq.Ft.,Built-up Area,Unfurnished,,,Immediately,Contact Agent,Price on Request
1241,East Delhi,1,1,,,425.0,Sq.Ft.,Built-up Area,Semi-Furnished,,,Immediately,Contact Agent,Price on Request
1242,East Delhi,1,1,,,636.0,Sq.Ft.,Built-up Area,Semi-Furnished,,,Immediately,Contact Agent,"₹ 17,200"
1243,East Delhi,2,1,,,940.0,Sq.Ft.,Built-up Area,Furnished,,,Immediately,Contact Agent,"₹ 18,390"
1244,East Delhi,2,,,,740.0,Sq.Ft.,Built-up Area,Furnished,,,Immediately,Contact Agent,"₹ 28,800"
1245,East Delhi,2,,,,740.0,Sq.Ft.,Built-up Area,Furnished,,,Immediately,Contact Agent,"₹ 29,400"
1246,East Delhi,2,,,,643.0,Sq.Ft.,Built-up Area,Semi-Furnished,,,Immediately,Contact Agent,"₹ 20,000"
1247,East Delhi,2,,,,740.0,Sq.Ft.,Built-up Area,Furnished,,,Immediately,Contact Agent,"₹ 23,000"
1248,East Delhi,2,1,,,649.0,Sq.Ft.,Built-up Area,Furnished,,,Immediately,Contact Agent,"₹ 22,500"
1249,East Delhi,2,,,,740.0,Sq.Ft.,Built-up Area,Furnished,,,Immediately,Contact Agent,"₹ 28,100"
1250,,1.5,,,,633.0,Sq.Ft.,Built-up Area,Semi-Furnished,,,Immediately,Contact Agent,"₹ 14,100"
1251,East Delhi,2,1,,,610.0,Sq.Ft.,Built-up Area,Unfurnished,,,Immediately,Contact Agent,Price on Request
1252,,1,,,,785.0,Sq.Ft.,Built-up Area,Semi-Furnished,,,Immediately,Contact Agent,"₹ 12,500"
1253,East Delhi,1,1,,,490.0,Sq.Ft.,Built-up Area,Furnished,East,,Immediately,Contact Agent,"₹ 15,225"
1254,East Delhi,1,1,,,490.0,Sq.Ft.,Built-up Area,Furnished,East,,Immediately,Contact Agent,"₹ 15,250"
1255,East Delhi,1,1,,,490.0,Sq.Ft.,Built-up Area,Furnished,East,,Immediately,Contact Agent,"₹ 15,375"
1256,East Delhi,1,1,,,490.0,Sq.Ft.,Built-up Area,Furnished,East,,Immediately,Contact Agent,"₹ 15,550"
1257,East Delhi,1,1,,,469.0,Sq.Ft.,Built-up Area,Semi-Furnished,,,Immediately,Contact Agent,Price on Request
1258,East Delhi,1,1,,,379.0,Sq.Ft.,Built-up Area,Semi-Furnished,,,Immediately,Contact Agent,Price on Request
1259,East Delhi,1,,,,635.0,Sq.Ft.,Built-up Area,Semi-Furnished,,,Immediately,Contact Agent,"₹ 14,400"
1260,Dwarka,3,3,3,8,1500.0,Sq.Ft.,Carpet Area,Furnished,North West,Available,Immediately,Contact Agent,Price on Request
1261,South Delhi,3,3,2nd and 3rd duplex,3,1500.0,Sq.Ft.,Built-up Area,Semi-Furnished,East,,Immediately,Contact Agent,"₹ 50,000"
1262,,2,2,9,,80.0,Sq.Yd.,Built-up Area,Semi-Furnished,,,Immediately,Contact Agent,"₹ 20,000"
1263,,2,2,4,5,1200.0,Sq.Ft.,Built-up Area,Furnished,North East,Available,Immediately,Contact Agent,"₹ 40,000"
1264,,3,2,7,10,1600.0,Sq.Ft.,Built-up Area,Unfurnished,North East,Available,Immediately,Contact Agent,"₹ 42,000"
1265,South Delhi,1,,,,420.0,Sq.Ft.,Built-up Area,Semi-Furnished,,,Immediately,Contact Agent,"₹ 14,300"
1266,West Delhi,1,2,,,671.0,Sq.Ft.,Built-up Area,Unfurnished,,No Back-up,Immediately,Contact Agent,"₹ 13,000"
1267,Dwarka,1,,,,418.0,Sq.Ft.,Built-up Area,Unfurnished,,,Immediately,Contact Agent,"₹ 13,500"
1268,West Delhi,1.5,1,2,4,550.0,Sq.Ft.,Saleable Area,Semi-Furnished,East,Available,Immediately,Contact Agent,"₹ 15,000"
1269,West Delhi,1,1,1,4,450.0,Sq.Ft.,Saleable Area,Semi-Furnished,East,Available,Immediately,Contact Agent,"₹ 12,000"
1270,South Delhi,3,2,6,,1235.0,Sq.Ft.,Built-up Area,Semi-Furnished,East,,Immediately,Contact Agent,"₹ 44,560"
1271,South Delhi,1,2,2,,1000.0,Sq.Ft.,Built-up Area,Furnished,,,Immediately,Contact Agent,"₹ 21,850"
1272,South Delhi,2,2,4,4,1396.0,Sq.Ft.,Built-up Area,Furnished,East,,Immediately,Contact Agent,"₹ 65,000"
1273,East Delhi,3,2,2,5,1500.0,Sq.Ft.,Built-up Area,Semi-Furnished,South,No Back-up,Immediately,Contact Agent,"₹ 40,000"
1274,South Delhi,3,3,G,,160.0,Sq.Yd.,Built-up Area,Furnished,,,Immediately,Contact Agent,₹ 2.80 L
1275,South Delhi,3,3,,,1900.0,Sq.Ft.,Built-up Area,Furnished,,,Immediately,Contact Agent,₹ 1.5 L
1276,Central Delhi,4,3,2,,2084.0,Sq.Ft.,Built-up Area,Semi-Furnished,,,Immediately,Contact Agent,Price on Request
1277,South Delhi,3,3,4,,600.0,Sq.Ft.,Built-up Area,Furnished,,,Immediately,Contact Agent,Price on Request
1278,North Delhi,2,2,1,3,1050.0,Sq.Ft.,Built-up Area,Semi-Furnished,North East,No Back-up,Immediately,Contact Agent,"₹ 26,000"
1279,North Delhi,2,2,2,3,950.0,Sq.Ft.,Built-up Area,Semi-Furnished,North East,No Back-up,Immediately,Contact Agent,"₹ 26,000"
1280,North Delhi,2,2,1,3,950.0,Sq.Ft.,Built-up Area,Semi-Furnished,North East,Available,Immediately,Contact Agent,"₹ 27,000"
1281,South Delhi,1,,,,735.0,Sq.Ft.,Built-up Area,Furnished,,,Immediately,Contact Agent,"₹ 24,900"
1282,South Delhi,2,1,,,510.0,Sq.Ft.,Built-up Area,Semi-Furnished,East,No Back-up,Immediately,Contact Agent,"₹ 12,600"
1283,Dwarka,2,2,,,1200.0,Sq.Ft.,Built-up Area,Semi-Furnished,,,Immediately,Contact Agent,"₹ 30,453"
1284,South Delhi,1,1,4,,600.0,Sq.Ft.,Built-up Area,Furnished,,Available,,Contact Agent,Price on Request
1285,South Delhi,1,,,,420.0,Sq.Ft.,Built-up Area,Semi-Furnished,,,Immediately,Contact Agent,"₹ 12,300"
1286,East Delhi,2,2,2,3,1050.0,Sq.Ft.,Built-up Area,Semi-Furnished,East,Available,Immediately,Contact Agent,"₹ 28,000"
1287,East Delhi,2,2,,,855.0,Sq.Ft.,Built-up Area,Unfurnished,East,,Immediately,Contact Agent,"₹ 20,200"
1288,West Delhi,2,2,first,3,1000.0,Sq.Ft.,Built-up Area,Unfurnished,East,,,Contact Agent,"₹ 30,000"
1289,East Delhi,3,3,,,1632.0,Sq.Ft.,Built-up Area,Furnished,,,Immediately,Contact Agent,"₹ 55,700"
1290,East Delhi,3,2,,,1620.0,Sq.Ft.,Built-up Area,Furnished,,,Immediately,Contact Agent,"₹ 55,000"
1291,East Delhi,3,3,,,194.0,Sq.Yd.,Built-up Area,Furnished,,,Immediately,Contact Agent,"₹ 50,700"
1292,East Delhi,3,2,,,1738.0,Sq.Ft.,Built-up Area,Furnished,,,Immediately,Contact Agent,"₹ 55,250"
1293,South Delhi,1,1,,,744.0,Sq.Ft.,Built-up Area,Furnished,,,Immediately,Contact Agent,"₹ 25,000"
1294,South Delhi,2,2,,,774.0,Sq.Ft.,Built-up Area,Semi-Furnished,,,Immediately,Contact Agent,"₹ 32,400"
1295,South Delhi,2,2,,,800.0,Sq.Ft.,Built-up Area,Semi-Furnished,East,,Immediately,Contact Agent,Price on Request
1296,,2.5,2,3,4,1250.0,Sq.Ft.,Built-up Area,Semi-Furnished,North East,,Immediately,Contact Agent,"₹ 28,000"
1297,East Delhi,2.5,2,ground floor,3,850.0,Sq.Ft.,Built-up Area,Furnished,East,No Back-up,Immediately,Contact Agent,"₹ 38,500"
1298,South Delhi,1,,,,420.0,Sq.Ft.,Built-up Area,Semi-Furnished,,,Immediately,Contact Agent,"₹ 12,500"
1299,Dwarka,2,1,,,750.0,Sq.Ft.,Built-up Area,Furnished,East,,Immediately,Contact Agent,"₹ 21,000"
1300,East Delhi,2,2,3,,1050.0,Sq.Ft.,Built-up Area,Semi-Furnished,North East,No Back-up,Immediately,Contact Agent,"₹ 18,000"
1301,South Delhi,1,,,,800.0,Sq.Ft.,Built-up Area,Semi-Furnished,,,Immediately,Contact Agent,Price on Request
1302,Dwarka,1,1,3,4,384.0,Sq.Ft.,Built-up Area,Unfurnished,East,No Back-up,Immediately,Contact Agent,Price on Request
1303,East Delhi,1 Rk,,,,340.0,Sq.Ft.,Built-up Area,Semi-Furnished,,,Immediately,Contact Agent,"₹ 9,000"
1304,South Delhi,1,1,,,440.0,Sq.Ft.,Built-up Area,Semi-Furnished,East,,Immediately,Contact Agent,"₹ 18,000"
1305,South Delhi,1.5,,,,776.0,Sq.Ft.,Built-up Area,Semi-Furnished,,,,Contact Agent,"₹ 15,000"
1306,North Delhi,1 Rk,1,1203,1204,350.0,Sq.Ft.,Built-up Area,Furnished,North East,No Back-up,Immediately,Contact Agent,"₹ 16,000"
1307,,2,3,,,850.0,Sq.Ft.,Built-up Area,Furnished,,,Immediately,Contact Agent,"₹ 22,000"
1308,West Delhi,2,2,1,4,1100.0,Sq.Ft.,Saleable Area,Furnished,East,Available,Immediately,Contact Agent,"₹ 36,000"
1309,South Delhi,2,2,,,900.0,Sq.Ft.,Built-up Area,Furnished,,,Immediately,Contact Agent,"₹ 29,200"
1310,South Delhi,2,2,,,967.0,Sq.Ft.,Built-up Area,Furnished,,,Immediately,Contact Agent,"₹ 45,800"
1311,South Delhi,1.5,1,ground floor,2,500.0,Sq.Ft.,Built-up Area,Furnished,South,Available,Immediately,Contact Agent,"₹ 27,500"
1312,South Delhi,2,1,Second Floor,,750.0,Sq.Ft.,Built-up Area,Furnished,,No Back-up,Immediately,Contact Agent,"₹ 45,000"
1313,South Delhi,2,2,,,774.0,Sq.Ft.,Built-up Area,Furnished,,,Immediately,Contact Agent,Price on Request
1314,South Delhi,1,1,2nd,4th,700.0,Sq.Ft.,Built-up Area,Semi-Furnished,South East,No Back-up,Immediately,Contact Agent,"₹ 10,000"
1315,West Delhi,1.5,1,2,4,40.0,Sq.Yd.,Built-up Area,Semi-Furnished,North East,Available,Immediately,Contact Agent,"₹ 10,000"
1316,Dwarka,2,2,,11,1369.0,Sq.Ft.,Carpet Area,Semi-Furnished,East,,Immediately,Contact Owner,"₹ 38,000"
1317,North Delhi,1.5,1,1,3,550.0,Sq.Ft.,Built-up Area,Semi-Furnished,North East,No Back-up,Immediately,Contact Agent,"₹ 13,000"
1318,East Delhi,3,2,2,6,1350.0,Sq.Ft.,Built-up Area,Semi-Furnished,East,,Immediately,Contact Owner,"₹ 33,000"
1319,North Delhi,2,1,2,4,402.0,Sq.Ft.,Built-up Area,Semi-Furnished,,,Immediately,Contact Owner,"₹ 15,000"
1320,West Delhi,1,2,,,620.0,Sq.Ft.,Built-up Area,Unfurnished,,No Back-up,Immediately,Contact Agent,"₹ 13,000"
1321,Central Delhi,3,,,,1215.0,Sq.Ft.,Built-up Area,Semi-Furnished,,,Immediately,Contact Agent,Price on Request
1322,East Delhi,1,,,,930.0,Sq.Ft.,Built-up Area,Semi-Furnished,,,Immediately,Contact Agent,"₹ 10,000"
1323,Dwarka,2,2,3,4,1000.0,Sq.Ft.,Built-up Area,Furnished,East,,Immediately,Contact Owner,"₹ 28,000"
1324,South Delhi,3,3,1,5,2200.0,Sq.Ft.,Built-up Area,Semi-Furnished,North,No Back-up,Immediately,Contact Agent,"₹ 85,000"
1325,North Delhi,1,,,,454.0,Sq.Ft.,Built-up Area,Semi-Furnished,,No Back-up,,Contact Agent,"₹ 14,500"
1326,South Delhi,2,2,,,750.0,Sq.Ft.,Built-up Area,Semi-Furnished,,,Immediately,Contact Agent,"₹ 20,000"
1327,,2,2,5,,125.0,Sq.Yd.,Built-up Area,Semi-Furnished,,,Immediately,Contact Agent,"₹ 20,000"
1328,East Delhi,1,,,,500.0,Sq.Ft.,Built-up Area,Semi-Furnished,,,Immediately,Contact Agent,"₹ 10,000"
1329,West Delhi,1,,,,505.0,Sq.Ft.,Built-up Area,Furnished,,,Immediately,Contact Agent,"₹ 18,200"
1330,South Delhi,1,1,2nd,4,450.0,Sq.Ft.,Built-up Area,Semi-Furnished,,,Immediately,Contact Agent,"₹ 12,000"
1331,North Delhi,3,2,7,10,1400.0,Sq.Ft.,Built-up Area,Furnished,North East,Available,Immediately,Contact Agent,"₹ 61,000"
1332,East Delhi,1.5,2,1,4,850.0,Sq.Ft.,Built-up Area,Unfurnished,West,Available,Immediately,Contact Agent,"₹ 22,000"
1333,South Delhi,2,1,1,3,800.0,Sq.Ft.,Built-up Area,Semi-Furnished,East,No Back-up,Immediately,Contact Agent,"₹ 25,000"
1334,South Delhi,1,2,4,,1000.0,Sq.Ft.,Built-up Area,Furnished,,,Immediately,Contact Agent,"₹ 20,000"
1335,South Delhi,2.5,2,2,4,1150.0,Sq.Ft.,Built-up Area,Unfurnished,East,Available,Immediately,Contact Agent,"₹ 50,000"
1336,South Delhi,2,2,3,5,600.0,Sq.Ft.,Built-up Area,Unfurnished,North,No Back-up,Immediately,Contact Agent,"₹ 15,000"
1337,South Delhi,Studio,1,3 floor,1,500.0,Sq.Ft.,Built-up Area,Furnished,East,,Immediately,Contact Agent,"₹ 20,000"
1338,West Delhi,2,2,Second Floor,,900.0,Sq.Ft.,Built-up Area,Semi-Furnished,Select View,,Immediately,Contact Agent,"₹ 20,000"
1339,South Delhi,1.5,1,,,800.0,Sq.Ft.,Built-up Area,Semi-Furnished,,,Immediately,Contact Agent,"₹ 35,200"
1340,,1 Rk,1,1,3,270.0,Sq.Ft.,Built-up Area,Furnished,East,Available,Immediately,Contact Agent,"₹ 23,000"
1341,South Delhi,1,1,,,436.0,Sq.Ft.,Built-up Area,Semi-Furnished,East,,Immediately,Contact Agent,"₹ 17,000"
1342,Dwarka,2,2,11,15,1150.0,Sq.Ft.,Built-up Area,Semi-Furnished,North,Available,Immediately,Contact Agent,"₹ 40,000"
1343,,3,2,,,1055.0,Sq.Ft.,Built-up Area,Semi-Furnished,East,,Immediately,Contact Agent,Price on Request
1344,North Delhi,1,,,,454.0,Sq.Ft.,Built-up Area,Semi-Furnished,,No Back-up,,Contact Agent,"₹ 14,500"
1345,South Delhi,2,2,,,750.0,Sq.Ft.,Built-up Area,Semi-Furnished,,,Immediately,Contact Agent,"₹ 20,000"
1346,South Delhi,3,3,1,5,2200.0,Sq.Ft.,Built-up Area,Semi-Furnished,North,No Back-up,Immediately,Contact Agent,"₹ 85,000"
1347,East Delhi,1,1,,,350.0,Sq.Ft.,Built-up Area,Unfurnished,East,,Immediately,Contact Agent,Price on Request
1348,East Delhi,1,,,,960.0,Sq.Ft.,Built-up Area,Semi-Furnished,,,Immediately,Contact Agent,"₹ 10,000"
1349,South Delhi,1.5,1,,,800.0,Sq.Ft.,Built-up Area,Semi-Furnished,,,Immediately,Contact Agent,"₹ 35,200"
1350,West Delhi,1,2,,,775.0,Sq.Ft.,Built-up Area,Unfurnished,,No Back-up,Immediately,Contact Agent,"₹ 13,000"
1351,Dwarka,2,2,3,4,1000.0,Sq.Ft.,Built-up Area,Furnished,East,,Immediately,Contact Owner,"₹ 28,000"
1352,North Delhi,1 Rk,1,1203,1204,350.0,Sq.Ft.,Built-up Area,Furnished,North East,No Back-up,Immediately,Contact Agent,"₹ 16,000"
1353,North Delhi,1.5,1,2,4,850.0,Sq.Ft.,Built-up Area,Furnished,North East,No Back-up,Immediately,Contact Agent,"₹ 22,000"
1354,South Delhi,2,2,02,4,1100.0,Sq.Ft.,Built-up Area,Semi-Furnished,South East,No Back-up,Immediately,Contact Agent,"₹ 19,000"
1355,West Delhi,2,2,,,800.0,Sq.Ft.,Built-up Area,Semi-Furnished,East,,Immediately,Contact Agent,"₹ 20,000"
1356,West Delhi,3,3,,,100.0,Sq.Yd.,Built-up Area,Furnished,,,Immediately,Contact Agent,"₹ 20,000"
1357,North Delhi,2,1,7,,540.0,Sq.Ft.,Built-up Area,Semi-Furnished,,,Immediately,Contact Agent,"₹ 20,000"
1358,West Delhi,2,1,,,1220.0,Sq.Ft.,Built-up Area,Semi-Furnished,,,Immediately,Contact Agent,"₹ 32,000"
1359,East Delhi,1 Rk,,,,352.0,Sq.Ft.,Built-up Area,Semi-Furnished,,,Immediately,Contact Agent,"₹ 8,000"
1360,West Delhi,2,2,2nd,4,1200.0,Sq.Ft.,Built-up Area,Furnished,East,Available,Immediately,Contact Owner,"₹ 30,000"
1361,South Delhi,4,4,1st Floor,1,3500.0,Sq.Ft.,Built-up Area,Unfurnished,North East,Available,Immediately,Contact Agent,₹ 1.5 L
1362,East Delhi,2,1,1st,4,1050.0,Sq.Ft.,Built-up Area,Semi-Furnished,East,Available,Immediately,Contact Agent,"₹ 26,000"
1363,West Delhi,1,2,,,663.0,Sq.Ft.,Built-up Area,Unfurnished,,No Back-up,Immediately,Contact Agent,"₹ 13,000"
1364,,3,2,,,1055.0,Sq.Ft.,Built-up Area,Semi-Furnished,East,,Immediately,Contact Agent,Price on Request
1365,,2,2,1,,100.0,Sq.Yd.,Built-up Area,Semi-Furnished,,,Immediately,Contact Agent,"₹ 20,000"
1366,South Delhi,1,,,,100.0,Sq.Ft.,Built-up Area,Semi-Furnished,,,Immediately,Contact Agent,"₹ 19,999"
1367,East Delhi,2,2,3,4,850.0,Sq.Ft.,Built-up Area,Furnished,East,Available,Immediately,Contact Agent,"₹ 20,000"
1368,South Delhi,3,,FIRST,3,1500.0,Sq.Ft.,Built-up Area,Furnished,North East,,Immediately,Contact Agent,"₹ 44,000"
1369,North Delhi,2,1,7,,540.0,Sq.Ft.,Built-up Area,Semi-Furnished,,,Immediately,Contact Agent,"₹ 20,000"
1370,North Delhi,2,1,1,4,900.0,Sq.Ft.,Built-up Area,Semi-Furnished,West,No Back-up,Immediately,Contact Agent,"₹ 32,000"
1371,South Delhi,2,2,02,4,1100.0,Sq.Ft.,Built-up Area,Semi-Furnished,South East,No Back-up,Immediately,Contact Agent,"₹ 19,000"
1372,West Delhi,2,2,,,800.0,Sq.Ft.,Built-up Area,Semi-Furnished,East,,Immediately,Contact Agent,"₹ 20,000"
1373,West Delhi,3,3,,,100.0,Sq.Yd.,Built-up Area,Furnished,,,Immediately,Contact Agent,"₹ 20,000"
1374,South Delhi,1,1,1,5,500.0,Sq.Ft.,Built-up Area,Semi-Furnished,East,Available,Immediately,Contact Agent,"₹ 10,000"
1375,North Delhi,2,2,1,3,950.0,Sq.Ft.,Built-up Area,Semi-Furnished,North East,No Back-up,Immediately,Contact Agent,"₹ 35,000"
1376,East Delhi,1,1,,,350.0,Sq.Ft.,Built-up Area,Unfurnished,East,,Immediately,Contact Agent,Price on Request
1377,East Delhi,2,,,,805.0,Sq.Ft.,Built-up Area,Semi-Furnished,,,Immediately,Contact Agent,"₹ 12,000"
1378,North Delhi,1,1,,,450.0,Sq.Ft.,Built-up Area,Semi-Furnished,East,,Immediately,Contact Agent,Price on Request
1379,Dwarka,1,1,3,4,378.0,Sq.Ft.,Built-up Area,Unfurnished,East,No Back-up,Immediately,Contact Agent,Price on Request
1380,East Delhi,Studio,1,First second ground,2,550.0,Sq.Ft.,Built-up Area,Unfurnished,East,No Back-up,Immediately,Contact Owner,Price on Request
1381,South Delhi,2,2,1,3,950.0,Sq.Ft.,Built-up Area,Semi-Furnished,East,No Back-up,Immediately,Contact Agent,"₹ 55,000"
1382,West Delhi,3,2,1,,1150.0,Sq.Ft.,Built-up Area,Semi-Furnished,South,,Immediately,Contact Agent,Price on Request
1383,West Delhi,2,2,2,,900.0,Sq.Ft.,Built-up Area,Semi-Furnished,Select View,,Immediately,Contact Agent,"₹ 27,000"
1384,South Delhi,3,3,,5,200.0,Sq.Yd.,Built-up Area,Furnished,,,Immediately,Contact Agent,₹ 1 L
1385,Central Delhi,2,2,,,1100.0,Sq.Ft.,Built-up Area,Semi-Furnished,East,,Immediately,Contact Agent,"₹ 30,000"
1386,East Delhi,2,2,c,5,1050.0,Sq.Ft.,Built-up Area,Semi-Furnished,East,No Back-up,Immediately,Contact Agent,"₹ 30,000"
1387,South Delhi,1,1,2,5,640.0,Sq.Ft.,Built-up Area,Furnished,North East,No Back-up,Immediately,Contact Agent,"₹ 16,000"
1388,South Delhi,3,3,2nd,4,1080.0,Sq.Ft.,Built-up Area,Semi-Furnished,,,Immediately,Contact Agent,"₹ 34,000"
1389,East Delhi,2,,,,600.0,Sq.Ft.,Built-up Area,Semi-Furnished,,,Immediately,Contact Agent,"₹ 13,300"
1390,North Delhi,3,2,7,10,1400.0,Sq.Ft.,Built-up Area,Furnished,North East,Available,Immediately,Contact Agent,"₹ 61,000"
