,zone,room,bathroom,floor,t_floors,area,area_unit,area_type,furnishing,facing,power_backup,available_from,contact,rent
4915,Dwarka,1 Rk,1,1,4,450.0,Sq.Ft.,Saleable Area,Semi-Furnished,South East,Available,,Contact Agent,Price on Request
4916,East Delhi,3,2,3,4,1050.0,Sq.Ft.,Built-up Area,Semi-Furnished,North,No Back-up,Immediately,Contact Agent,"₹ 30,000"
4917,Dwarka,3,3,5,13,2100.0,Sq.Ft.,Built-up Area,Unfurnished,West,No Back-up,Immediately,Contact Agent,"₹ 52,000"
4918,South Delhi,3,3,THIRD FLOOR,4TH FLOOR,2000.0,Sq.Ft.,Built-up Area,Semi-Furnished,East,,Immediately,Contact Agent,₹ 1.25 L
4919,South Delhi,4,,,,2300.0,Sq.Ft.,Built-up Area,Semi-Furnished,,,Immediately,Contact Agent,₹ 1.62 L
4920,South Delhi,1,1,3rd,5,450.0,Sq.Ft.,Built-up Area,Semi-Furnished,South East,No Back-up,Immediately,Contact Agent,"₹ 17,151"
4921,South Delhi,2,2,THIRD FLOOR,4TH FLOOR,750.0,Sq.Ft.,Built-up Area,Semi-Furnished,,,Immediately,Contact Agent,"₹ 20,000"
4922,South Delhi,2,2,1,3,1500.0,Sq.Ft.,Built-up Area,Furnished,North,No Back-up,Immediately,Contact Agent,"₹ 65,000"
4923,South Delhi,2,2,1,3,1300.0,Sq.Ft.,Built-up Area,Unfurnished,East,No Back-up,,Contact Agent,"₹ 45,000"
4924,Dwarka,4,3,,,2656.0,Sq.Ft.,Built-up Area,Furnished,,,Immediately,Contact Agent,"₹ 59,000"
4925,North Delhi,2,2,UPPER GROUND FLOOR,4TH FLOOR,900.0,Sq.Ft.,Built-up Area,Semi-Furnished,,,,Contact Agent,"₹ 30,000"
4926,South Delhi,2,2,2,3,700.0,Sq.Ft.,Built-up Area,Furnished,North East,No Back-up,Immediately,Contact Agent,"₹ 25,000"
4927,South Delhi,1.5,1,4,5,700.0,Sq.Ft.,Built-up Area,Furnished,North East,Available,Immediately,Contact Agent,"₹ 18,000"
4928,South Delhi,1 Rk,1,ground,4,300.0,Sq.Ft.,Built-up Area,Furnished,South East,Available,Immediately,Contact Agent,"₹ 14,500"
4929,South Delhi,1,1,1,,600.0,Sq.Ft.,Built-up Area,Semi-Furnished,West,Available,Immediately,Contact Agent,"₹ 20,000"
4930,West Delhi,3,3,1,,150.0,Sq.Yd.,Built-up Area,Furnished,East,Available,Immediately,Contact Agent,"₹ 30,000"
4931,Dwarka,3.5,3,6,13,1869.0,Sq.Ft.,Built-up Area,Semi-Furnished,North,Available,Immediately,Contact Agent,"₹ 50,000"
4932,East Delhi,1,1,,4,550.0,Sq.Ft.,Built-up Area,Semi-Furnished,South East,No Back-up,Immediately,Contact Agent,"₹ 11,000"
4933,East Delhi,2,2,3,4,950.0,Sq.Ft.,Built-up Area,Semi-Furnished,North East,No Back-up,,Contact Agent,"₹ 25,000"
4934,North Delhi,2,2,FIRST FLOOR,4TH FLOOR,800.0,Sq.Ft.,Built-up Area,Semi-Furnished,,,Immediately,Contact Agent,Price on Request
4935,South Delhi,3,3,2nd Floor,3 Floors in building,1700.0,Sq.Ft.,Built-up Area,Furnished,North East,Available,Immediately,Contact Agent,"₹ 75,000"
4936,South Delhi,2,,,,700.0,Sq.Ft.,Built-up Area,Furnished,,,Immediately,Contact Agent,Price on Request
4937,Dwarka,1,1,1,5,450.0,Sq.Ft.,Built-up Area,Unfurnished,East,No Back-up,Immediately,Contact Agent,Price on Request
4938,South Delhi,2,1,,,859.0,Sq.Ft.,Built-up Area,Semi-Furnished,,,Immediately,Contact Agent,Price on Request
4939,Dwarka,1,1,1,4,400.0,Sq.Ft.,Built-up Area,Furnished,North West,,Immediately,Contact Agent,Price on Request
4940,South Delhi,2,2,1,3,1300.0,Sq.Ft.,Built-up Area,Unfurnished,East,No Back-up,,Contact Agent,"₹ 45,000"
4941,Dwarka,4,3,,,2656.0,Sq.Ft.,Built-up Area,Furnished,,,Immediately,Contact Agent,"₹ 59,000"
4942,South Delhi,2,2,2,4,1000.0,Sq.Ft.,Built-up Area,Semi-Furnished,North East,Available,Immediately,Contact Agent,"₹ 20,000"
4943,West Delhi,2,2,2,3,800.0,Sq.Ft.,Built-up Area,Unfurnished,West,,Immediately,Contact Agent,"₹ 20,000"
4944,North Delhi,1,1,4TH FLOOR,4TH FLOOR,600.0,Sq.Ft.,Built-up Area,Furnished,,,Immediately,Contact Agent,"₹ 18,500"
4945,South Delhi,3,1,UPPER GROUND FLOOR,4TH FLOOR,550.0,Sq.Ft.,Built-up Area,Semi-Furnished,East,,Immediately,Contact Agent,"₹ 17,500"
4946,South Delhi,2,2,1,3,1500.0,Sq.Ft.,Built-up Area,Furnished,North,No Back-up,Immediately,Contact Agent,"₹ 65,000"
4947,South Delhi,2,2,2,3,700.0,Sq.Ft.,Built-up Area,Furnished,North East,No Back-up,Immediately,Contact Agent,"₹ 25,000"
4948,South Delhi,1.5,1,4,5,700.0,Sq.Ft.,Built-up Area,Furnished,North East,Available,Immediately,Contact Agent,"₹ 18,000"
4949,South Delhi,1 Rk,1,ground,4,300.0,Sq.Ft.,Built-up Area,Furnished,South East,Available,Immediately,Contact Agent,"₹ 14,500"
4950,South Delhi,3,3,FIRST FLOOR,4TH FLOOR,2500.0,Sq.Ft.,Built-up Area,Semi-Furnished,North East,Available,Immediately,Contact Agent,₹ 2.75 L
4951,Dwarka,1,1,,,825.0,Sq.Ft.,Built-up Area,Semi-Furnished,,,Immediately,Contact Agent,"₹ 32,500"
4952,East Delhi,2,,,7,1000.0,Sq.Ft.,Built-up Area,Semi-Furnished,East,Available,Immediately,Contact Agent,"₹ 26,000"
4953,South Delhi,1,1,3rd Floor in building,5 Floors in building,380.0,Sq.Ft.,Built-up Area,Unfurnished,North East,Available,Immediately,Contact Agent,"₹ 11,500"
4954,South Delhi,1,2,third floor,5,516.0,Sq.Ft.,Built-up Area,Unfurnished,North East,No Back-up,Immediately,Contact Agent,"₹ 13,000"
4955,West Delhi,3,3,3,12,1574.0,Sq.Ft.,Built-up Area,Semi-Furnished,North,Available,Immediately,Contact Agent,"₹ 95,000"
4956,South Delhi,4,4,FIRST FLOOR,4TH FLOOR,3600.0,Sq.Ft.,Built-up Area,Semi-Furnished,East,,Immediately,Contact Agent,Price on Request
4957,Dwarka,2,2,,,1000.0,Sq.Ft.,Built-up Area,Semi-Furnished,,,Immediately,Contact Agent,"₹ 27,000"
4958,South Delhi,2,,,,700.0,Sq.Ft.,Built-up Area,Furnished,,,Immediately,Contact Agent,Price on Request
4959,South Delhi,1,,,,450.0,Sq.Ft.,Built-up Area,Semi-Furnished,Select View,,,Contact Agent,"₹ 25,000"
4960,West Delhi,2,1,3,3,100.0,Sq.Yd.,Built-up Area,Semi-Furnished,South,No Back-up,Immediately,Contact Agent,"₹ 19,000"
4961,South Delhi,3.5,3,FIRST FLOOR,4TH FLOOR,3150.0,Sq.Ft.,Built-up Area,Semi-Furnished,North East,Available,Immediately,Contact Agent,₹ 3.2 L
4962,South Delhi,2,2,3,4,950.0,Sq.Ft.,Built-up Area,Semi-Furnished,South East,Available,Immediately,Contact Agent,"₹ 35,000"
4963,South Delhi,1,1,first floor,5,550.0,Sq.Ft.,Saleable Area,Semi-Furnished,West,No Back-up,Immediately,Contact Agent,"₹ 17,000"
4964,South Delhi,1,2,second floor,5,516.0,Sq.Ft.,Saleable Area,Semi-Furnished,West,No Back-up,Immediately,Contact Agent,"₹ 16,000"
4965,East Delhi,2,1,4,4,650.0,Sq.Ft.,Built-up Area,Semi-Furnished,East,No Back-up,Immediately,Contact Agent,"₹ 12,000"
4966,South Delhi,3,3,2nd Floor with out lift,3 Floors in building,1700.0,Sq.Ft.,Built-up Area,Furnished,North East,Available,Immediately,Contact Agent,"₹ 76,000"
4967,South Delhi,1 Rk,1,4,4,450.0,Sq.Ft.,Built-up Area,Furnished,North,No Back-up,Immediately,Contact Agent,"₹ 17,000"
4968,Dwarka,3,3,,,1635.0,Sq.Ft.,Built-up Area,Semi-Furnished,,,Immediately,Contact Agent,Price on Request
4969,South Delhi,4,4,FIRST FLOOR,4TH FLOOR,3600.0,Sq.Ft.,Built-up Area,Semi-Furnished,,,Immediately,Contact Agent,Price on Request
4970,,4,,,,2000.0,Sq.Ft.,Carpet Area,Furnished,,,Immediately,Contact Agent,"₹ 45,000"
4971,Dwarka,4,3,,,3035.0,Sq.Ft.,Built-up Area,Semi-Furnished,,,Immediately,Contact Agent,"₹ 80,500"
